125
134,8819162
139,5276649
142,0680345
143,6293026
144,6733032
145,4139838
145,961388
146,3771283
146,6980833
146,9474983
147,1406123
147,2877065
147,3958464
147,4699224
147,5132927
147,5281884
147,5159711
147,4772923
147,4121845
147,3200997
147,1999018
147,0498148
146,8673212
146,6489968
146,3902617
146,0850082
145,7250452
145,2992545
144,7922805
144,1824271
143,4381563
142,5119786
141,3291862
139,7656428
137,6003824
134,4046551
129,2539582
119,894916
100,0651419
115,1180838
125
131,1607088
135,1151705
137,7758729
139,6499262
141,0212442
142,0544398
142,8490418
143,4677068
143,9512975
144,3272444
144,6143674
144,8257566
144,9705505
145,0550599
145,0834899
145,0584037
144,9810135
144,8513461
144,6683126
144,4296926
144,1320363
143,770473
143,3384043
142,8270419
142,224726
141,5159178
140,6796925
139,6874405
138,4992717
137,0582196
135,2805717
133,0391234
130,1330026
126,2312318
120,7642799
112,7162615
100,2605641
80,3656514
110,4723351
118,8392912
125
129,4560657
132,7090922
135,1292844
136,9666271
138,3860852
139,4968921
140,3724047
141,0627404
141,6027006
142,016762
142,322262
142,5314631
142,6529067
142,6923075
142,6531403
142,5370117
142,3438739
142,072112
141,7185197
141,2781648
140,7441304
140,1071055
139,3547755
138,4709361
137,4342077
136,2161571
134,778517
133,0689998
131,0148785
128,5129654
125,413733
121,4960124
116,4272622
109,7049711
100,5862438
88,06542765
71,13689958
107,9319655
114,8848295
120,5439343
125
128,475146
131,1914919
133,3298948
135,0263817
136,3800369
137,4622795
138,3245588
139,0040556
139,5277178
139,9150664
140,1801333
140,3327961
140,3796931
140,3248383
140,1700193
139,9150259
139,5577417
139,0941095
138,5179727
137,8207782
136,9911117
136,0140185
134,8700352
133,5338198
131,9722113
130,1414708
127,9833318
125,4193292
122,3426783
118,606831
114,0100518
108,2768335
101,0420986
91,85831499
80,27800306
66,11651929
106,3706974
112,2241271
117,2909078
121,524854
125
127,8316426
130,1350783
132,00951
133,5345942
134,7721175
135,7691599
136,5612452
137,1749873
137,6301526
137,9412074
138,1184515
138,1688304
138,0965006
137,9032011
137,5884688
137,1497194
136,5822038
135,8788385
135,0298982
134,0225446
132,8401515
131,4613666
129,8588248
127,9973975
125,8318232
123,3035274
120,3364282
116,8315875
112,6608608
107,6605305
101,6279212
94,3282747
85,52691452
75,07175031
63,05117451
105,3266968
110,3500738
114,8707156
118,8085081
122,1683574
125
127,369266
129,3419857
130,9767123
132,3224366
133,4187179
134,2967779
134,9808337
135,4893493
135,8360922
136,030972
136,0806765
135,9891326
135,7578156
135,3859287
134,8704633
134,2061477
133,3852792
132,3974314
131,2290169
129,8626764
128,2764548
126,4427152
124,3267309
121,884897
119,0625263
115,7912688
111,9863829
107,544494
102,3432883
96,24604619
89,1161645
80,84931809
71,43090913
61,01642846
104,5860162
108,9787558
113,0333729
116,6701052
119,8649217
122,630734
125
127,0124546
128,7078327
130,1221986
131,2864971
132,226315
132,9622203
133,5103186
133,8828401
134,0886677
134,1337711
134,0215377
133,7530001
133,3269669
132,7400576
131,9866446
131,0586991
129,9455313
128,6334154
127,1050823
125,3390609
123,3088504
120,9819139
118,3185077
115,270412
111,7797378
107,7781813
103,1874439
97,92208256
91,89681074
85,04101899
77,32328423
68,78613966
59,58363019
104,038612
107,9455602
111,6139148
114,9736183
117,99049
120,6580143
122,9875454
125
126,7199652
128,1720281
129,378757
130,3597647
131,1314137
131,7068647
132,096282
132,3070876
132,3442026
132,2102468
131,9056804
131,4288814
130,7761553
129,9416741
128,9173414
127,6925792
126,254031
124,5851766
122,6658562
120,4717114
117,9735666
115,1368078
111,9208761
108,2790889
104,1591607
99,50501787
94,26078724
88,37809522
81,8278165
74,61666019
66,80673507
58,53195266
103,6228717
107,1509582
110,5031079
113,6199631
116,4654058
119,0232877
121,2921673
123,2800348
125
126,4671916
127,6967381
128,7025732
129,4968052
130,0894444
130,4883357
130,6991981
130,7257048
130,5695665
130,2305931
129,706723
128,9940083
128,0865552
126,9764132
125,653413
124,1049529
122,3157369
120,2674759
117,9385726
115,3038332
112,3342809
108,9971958
105,2565812
101,0743546
96,41267962
91,23795332
85,52696641
79,2754916
72,50880494
65,29218777
57,73744539
103,3019167
106,5322932
109,6275953
112,5377205
115,2278825
117,6775634
119,8778014
121,8279719
123,5328084
125
126,2384307
127,2569847
128,0637897
128,6657719
129,0684182
129,2756642
129,2898522
129,1117211
128,7404028
128,173409
127,4065996
126,4341251
125,2483432
123,8397068
122,1966306
120,3053422
118,149738
115,7112698
112,9689127
109,8992867
106,477045
102,6756854
98,46899707
93,83339265
88,75138002
83,21632548
77,23837856
70,85088021
64,11576569
57,12564111
103,0525017
106,0487025
108,9372596
111,6754412
114,2308401
116,5812821
118,7135029
120,621243
122,3032619
123,7615693
125
126,0231454
126,8355968
127,4414352
127,843901
128,0451883
128,0463187
127,8470631
127,4458879
126,8399108
126,0248558
124,9950026
123,7431276
122,2604406
120,5365203
118,5592634
116,314864
113,787856
110,961261
107,8169083
104,3360119
